名次,"#1(蛮鳞行动)
2021-09-28","#2(松烟行动)
2021-12-09","#3(寻昼行动)
2022-03-11","#4(渊默行动)
2022-06-04","#5(尘环行动)
2022-09-09","#6(赝波行动)
2022-12-03","#7(起源行动)
2023-04-11","#8(尖灭测试)
2023-06-10","#9(纷争演绎)
2023-10-28","合约#1(潮曦作战)
2024-04-18","合约#2(净罪作战)
2025-03-02"
1,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,伊内丝,伊内丝
2,假日威龙陈,假日威龙陈,假日威龙陈,假日威龙陈,假日威龙陈,玛恩纳,假日威龙陈,假日威龙陈,玛恩纳,刻俄柏,刻俄柏
3,银灰,风笛,风笛,风笛,风笛,假日威龙陈,玛恩纳,玛恩纳,假日威龙陈,琴柳,铃兰
4,风笛,银灰,铃兰,银灰,铃兰,风笛,风笛,风笛,伊内丝,风笛,逻各斯
5,泥岩,铃兰,银灰,铃兰,银灰,铃兰,铃兰,琴柳,琴柳,史尔特尔,焰影苇草
6,铃兰,泥岩,泥岩,泥岩,耀骑士临光,琴柳,琴柳,伊内丝,风笛,黍,琴柳
7,艾雅法拉,浊心斯卡蒂,夜莺,浊心斯卡蒂,琴柳,耀骑士临光,耀骑士临光,耀骑士临光,铃兰,锏,风笛
8,塞雷娅,琴柳,浊心斯卡蒂,琴柳,泥岩,温蒂,温蒂,温蒂,耀骑士临光,焰影苇草,艾拉
9,凯尔希,夜莺,琴柳,温蒂,温蒂,银灰,夜莺,铃兰,塞雷娅,缄默德克萨斯,缄默德克萨斯
10,琴柳,凯尔希,令,令,令,令,令,令,令,艾拉,温蒂
11,浊心斯卡蒂,塞雷娅,能天使,耀骑士临光,夜莺,夜莺,焰影苇草,年,夜莺,麒麟R夜刀,歌蕾蒂娅
12,安洁莉娜,能天使,耀骑士临光,傀影,浊心斯卡蒂,泥岩,塞雷娅,塞雷娅,焰影苇草,铃兰,黍
13,温蒂,傀影,傀影,能天使,能天使,缄默德克萨斯,年,夜莺,温蒂,歌蕾蒂娅,史尔特尔
14,能天使,温蒂,塞雷娅,夜莺,鸿雪,鸿雪,归溟幽灵鲨,焰影苇草,麒麟R夜刀,温蒂,妮芙
15,灰烬,安洁莉娜,凯尔希,塞雷娅,傀影,年,银灰,麒麟R夜刀,缄默德克萨斯,莱伊,麦哲伦
16,伊芙利特,艾雅法拉,温蒂,凯尔希,塞雷娅,灵知,阿,缄默德克萨斯,归溟幽灵鲨,假日威龙陈,灵知
17,山,山,安洁莉娜,号角,山,阿,泥岩,归溟幽灵鲨,年,耀骑士临光,塑心
18,夜莺,灰烬,艾雅法拉,山,艾雅法拉,号角,灵知,银灰,涤火杰西卡,夜莺,伊芙利特
19,棘刺,伊芙利特,山,艾雅法拉,凯尔希,百炼嘉维尔,麒麟R夜刀,瑕光,瑕光,塞雷娅,塞雷娅
20,傀影,棘刺,歌蕾蒂娅,麦哲伦,号角,归溟幽灵鲨,缄默德克萨斯,泥岩,莫斯提马,归溟幽灵鲨,夜莺
21,煌,耀骑士临光,棘刺,安洁莉娜,归溟幽灵鲨,傀影,鸿雪,歌蕾蒂娅,阿,玛恩纳,维什戴尔
22,歌蕾蒂娅,嵯峨,灵知,年,年,塞雷娅,仇白,麦哲伦,纯烬艾雅法拉,灵知,莱伊
23,黑,歌蕾蒂娅,伊芙利特,歌蕾蒂娅,麦哲伦,麦哲伦,号角,傀影,浊心斯卡蒂,塑心,余
24,嵯峨,煌,嵯峨,澄闪,歌蕾蒂娅,歌蕾蒂娅,百炼嘉维尔,阿,歌蕾蒂娅,艾雅法拉,归溟幽灵鲨
25,麦哲伦,麦哲伦,焰尾,阿,灵知,浊心斯卡蒂,歌蕾蒂娅,灵知,仇白,林,维娜·维多利亚
26,赫拉格,黑,年,棘刺,澄闪,能天使,瑕光,鸿雪,刻俄柏,莫斯提马,烛煌
27,年,阿,澄闪,嵯峨,百炼嘉维尔,山,麦哲伦,仇白,林,瑕光,林
28,卡涅利安,赫拉格,麦哲伦,灵知,阿,凯尔希,浊心斯卡蒂,号角,艾雅法拉,伊芙利特,莫斯提马
29,刻俄柏,焰尾,阿,伊芙利特,艾丽妮,瑕光,莫斯提马,百炼嘉维尔,百炼嘉维尔,阿,傀影
30,阿,年,灰烬,流明,瑕光,艾雅法拉,傀影,浊心斯卡蒂,提丰,令,瑕光
31,迷迭香,异客,煌,灰烬,安洁莉娜,澄闪,能天使,斥罪,鸿雪,涤火杰西卡,艾雅法拉
32,W,刻俄柏,黑,煌,嵯峨,嵯峨,凯尔希,星熊,圣约送葬人,年,仇白
33,夕,卡涅利安,刻俄柏,艾丽妮,棘刺,伊芙利特,斥罪,林,灵知,麦哲伦,耀骑士临光
